Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
1,0,1,0,0,0,0
2,1,2,0,0,0,0
3,1,3,0,0,0,0
4,0,3,0,0,0,0
5,0,3,0,0,0,0
6,0,3,0,0,0,0
7,0,3,0,0,0,0
8,0,3,0,0,0,0
9,0,3,0,0,0,0
10,0,3,0,0,0,0
11,0,3,0,0,0,0
12,0,3,0,0,0,0
13,0,3,1,1,0,0
14,0,3,0,1,0,0
15,0,3,0,1,0,0
16,0,3,1,2,0,0
17,0,3,0,2,0,0
18,0,3,0,2,0,0
19,0,3,0,2,0,0
20,0,3,1,3,0,0
21,0,3,0,3,0,0
22,0,3,0,3,0,0
23,0,3,0,3,0,0
24,0,3,0,3,0,0
25,0,3,0,3,0,0
26,0,3,0,3,0,0
27,0,3,0,3,0,0
28,0,3,0,3,0,0
29,0,3,0,3,0,0
1,0,3,0,3,0,0
2,2,5,0,3,0,0
3,1,6,0,3,0,0
4,22,28,0,3,0,0
5,2,30,0,3,0,0
6,1,31,0,3,0,0
7,3,34,0,3,0,0
8,5,39,0,3,0,0
9,9,48,0,3,0,0
10,15,63,1,4,0,0
11,8,71,0,4,0,0
12,10,81,0,4,1,1
13,10,91,6,10,0,1
14,11,102,0,10,1,2
15,10,112,3,13,0,2
16,14,126,1,14,0,2
17,20,146,1,15,1,3
18,25,171,0,15,0,3
19,27,198,5,20,1,4
20,58,256,3,23,0,4
21,78,334,0,23,0,4
22,69,403,0,23,3,7
23,94,497,2,25,2,9
24,74,571,15,40,1,10
25,86,657,3,43,1,11
26,73,730,7,50,5,16
27,153,883,25,75,3,19
28,136,1019,10,85,5,24
29,120,1139,17,102,3,27
30,187,1326,35,137,14,41
31,309,1635,13,150,6,47
01,424,2059,19,169,6,53
02,486,2545,22,191,16,69
03,560,3105,39,230,14,83
04,579,3684,56,286,13,96
05,609,4293,43,329,22,118
06,484,4777,65,394,16,134
07,573,5350,75,469,27,161
08,565,5915,96,565,20,181
09,813,6728,70,635,46,227
10,871,7599,151,786,22,249
11,854,8453,186,972,41,290
12,758,9211,114,1086,42,332
13,1243,10454,112,1198,27,359
14,1031,11485,167,1365,37,396
15,886,12371,144,1509,27,423
16,1061,13432,258,1767,26,449
17,922,14354,273,2040,38,487
18,1371,15725,426,2466,35,522
19,1580,17305,388,2854,38,560
20,1239,18544,419,3273,33,593
21,1537,20081,703,3976,53,646
22,1292,21373,394,4370,36,682
23,1667,23040,642,5012,40,722
24,1408,24448,484,5496,59,781
25,1835,26283,442,5938,44,825
26,1607,27890,585,6523,56,881
27,1568,29458,580,7103,58,939
28,1902,31360,636,7739,69,1008
29,1705,33065,690,8429,71,1079
30,1801,34866,630,9059,75,1154
01 May,2396,37262,962,10021,77,1231
02 May,2564,39826,831,10852,92,1323
03 May,2952,42778,911,11763,140,1463
04 May,3656,46434,1082,12845,103,1566
05 May,2971,49405,1295,14140,128,1694
06 May,3602,53007,1161,15301,91,1785
07 May,3344,56351,1475,16776,104,1889
08 May,3339,59690,1111,17887,97,1986
09 May,3175,62865,1414,19301,115,2101
10 May,4311,67176,1669,20970,112,2213
11 May,3592,70768,1579,22549,81,2294
12 May,3562,74330,1905,24454,120,2414
13 May,3726,78056,1964,26418,136,255
